1,1,,210.15,package,low,,,San Francisco CA 94121 Bashford 830 1,,
2,2,,134.43,package,medium,,,Huntington WV 25775 Quincy 518 ,,
3,3,,359.47,package,high,,,Topeka KS 66642 Brown 9829 ,,
4,4,,363.9,envelope,high,,,Reno NV 89505 Melrose 49366 ,,
5,5,,60.59,package,low,,,Jacksonville FL 32215 Washington 96 ,,
6,6,,279.84,package,low,,,Detroit MI 48232 Glendale 605 ,,
7,7,,49.64,envelope,high,,,East Saint Louis IL 62205 Johnson 51093 ,,
8,8,,81.19,package,high,,,Tucson AZ 85720 Veith 29 101,,
9,9,,30.13,envelope,low,,,Bridgeport CT 06673 Summer Ridge 289 ,,
10,10,,31.33,package,medium,,,Clearwater FL 34620 Chive 698 ,,
11,11,,50.79,package,low,,,Newark NJ 07195 Tony 23 ,,
12,12,,143.99,envelope,high,,,Rochester NY 14619 Kropf 05 ,,
13,13,,94.42,envelope,low,,,Erie PA 16534 Loftsgordon 5900 ,,
14,14,,190.02,envelope,medium,,,Alhambra CA 91841 Lotheville 70268 ,,
15,15,,271.97,package,high,,,Shreveport LA 71130 Leroy 61198 ,,
16,16,,359.98,envelope,low,,,Montpelier VT 05609 Shoshone 79584 ,,
17,17,,135.73,package,high,,,Houston TX 77005 Knutson 85 ,,
18,18,,58.94,package,medium,,,New York City NY 10039 Golf Course 71308 ,,
19,19,,9.56,envelope,medium,,,Des Moines IA 50936 Lakeland 7277 ,,
20,20,,377.67,package,high,,,Hayward CA 94544 Hazelcrest 53 ,,
21,21,,31.34,envelope,high,,,Anniston AL 36205 Pankratz 170 ,,
22,22,,203.48,envelope,high,,,Pasadena CA 91117 Delaware 3147 ,,
23,23,,343.88,envelope,medium,,,San Diego CA 92186 Dryden 94701 ,,
24,24,,258.94,envelope,low,,,Austin TX 78703 School 9 ,,
25,25,,41.77,envelope,high,,,Lima OH 45807 Stephen 833 ,,
26,26,,155.5,envelope,high,,,Temple TX 76505 Johnson 649 ,,
27,27,,100.82,package,high,,,Brooklyn NY 11220 Beilfuss 659 ,,
28,28,,355.82,package,high,,,Norwalk CT 06859 Thackeray 4 ,,
29,29,,238.01,envelope,medium,,,Troy MI 48098 Bartelt 1 ,,
30,30,,232.33,package,low,,,Tucson AZ 85743 Anniversary 67241 96,,
31,31,,48.39,envelope,low,,,Danbury CT 06816 Havey 4 ,,
32,32,,204.73,package,medium,,,Washington DC 20337 Lien 7434 ,,
33,33,,327,envelope,low,,,Saint Cloud MN 56398 Pennsylvania 534 ,,
34,34,,193.87,package,high,,,Raleigh NC 27658 Gale 32 ,,
35,35,,310.26,package,medium,,,Houston TX 77005 Victoria 4 ,,
36,36,,127.74,package,high,,,Washington DC 20530 Old Gate 1 ,,
37,37,,297.53,package,high,,,Pensacola FL 32526 Bluestem 11 ,,
38,38,,137.5,envelope,medium,,,Baton Rouge LA 70810 Tennyson 6733 ,,
39,39,,392.3,package,medium,,,Fresno CA 93778 Chive 429 ,,
40,40,,142.14,envelope,low,,,Garland TX 75049 North 5482 ,,
41,41,,128.95,package,low,,,Charlotte NC 28242 Hallows 6 ,,
42,42,,356.36,envelope,low,,,Orange CA 92867 Shoshone 0670 ,,
43,43,,330.89,package,medium,,,Shawnee Mission KS 66210 Monterey 93515 ,,
